job_title,company,location,required_skills,years_experience,job_description,url
ML Engineer Graduate,TikTok,"San Jose, CA","Python,ML,Algorithms,Data Structures,TensorFlow",1,This is a graduate-level role for individuals starting in 2026. You will build and optimize machine learning models for large-scale data processing. The role involves collaborating with cross-functional teams to improve algorithm efficiency. You will apply deep learning techniques to enhance user experience and content discovery. A strong foundation in computer science fundamentals is required.,Link
Junior ML Engineer,Local Services,"Mountain View, CA","PyTorch,SQL,Data Engineering,Kafka,Airflow",2,Join the Search and Local Services team to develop intelligent recommendation systems. You will assist in building and deploying ML pipelines that handle millions of queries. The role focuses on improving the accuracy of local search results through data-driven experiments. You will work closely with senior engineers to learn industry-standard deployment practices. This position requires a proactive approach to solving complex data challenges.,Link
AI Dev Associate,Tech Stealth,Remote,"GenAI,Python,Prompt Engineering,LangChain,Vector Databases",1,Support the development and testing of internal generative AI tools. You will be responsible for fine-tuning prompts and evaluating model outputs for accuracy. This role involves maintaining technical documentation for AI workflows and APIs. You will assist in identifying edge cases and improving the reliability of AI assistants. Collaboration with product managers to define AI requirements is a key part of the job.,Link
AI Specialist (Rotational),Finance Corp,"New York, NY","R,Python,Statistics,Tableau,Excel",1,"This rotation program allows new graduates to work across different AI and ML teams. You will gain exposure to financial modeling, risk assessment, and customer analytics using AI. The program includes structured mentorship and training on enterprise-grade AI tools. You will contribute to real-world projects that impact the company's digital strategy. Excellent analytical skills and a desire to learn various AI domains are required.",Link
Research Scientist Grad,Waymo,"Mountain View, CA","C++,Deep Learning,CUDA,Computer Vision,Sensor Fusion",2,Apply machine learning to autonomous driving technology and complex system simulations. You will conduct research into new algorithms for motion planning and perception. The role involves working with large-scale datasets from autonomous vehicle sensors. You will collaborate with researchers to publish findings and implement production-ready code. A background in robotics or a related PhD/Master's specialization is preferred.,Link
ML Engineer (2026),Ads Tech,"Seattle, WA","Spark,Python,Java,Hadoop,Hive,Scala",2,"Focus on developing algorithms for search advertising and real-time bidding systems. You will help build models that predict user behavior and optimize ad relevance. The role involves working with massive distributed systems and data pipelines. You will participate in the full lifecycle of ML development, from research to production. Strong problem-solving skills and knowledge of data structures are essential.",Link
Technical Staff - AI,OpenAI,"San Francisco, CA","Distributed Systems,CUDA,C++,Triton,MPI,PyTorch",4,Contribute to the development of next-generation large language models. You will help scale training infrastructure and optimize model performance across clusters. The role requires a deep understanding of neural network architectures and optimization. You will work in a fast-paced environment with some of the world's leading AI researchers. Creativity and the ability to iterate quickly on research ideas are highly valued.,Link
Data Scientist,E-commerce,"Austin, TX","A/B Testing,SQL,Python,Statistics,Pandas,Matplotlib",2,Analyze customer data to drive business decisions and improve product features. You will build predictive models to forecast demand and optimize inventory management. The role involves designing and analyzing A/B tests to measure the impact of new features. You will communicate data-driven insights to stakeholders through visualizations and reports. A strong understanding of statistics and probability is necessary for success.,Link
AI Consultant,Global Consult,"Chicago, IL","Computer Vision,OpenCV,TensorFlow,Client Relations,Presentations",3,Help clients implement computer vision solutions for manufacturing and retail sectors. You will be responsible for assessing client needs and proposing AI-driven automations. The role involves developing proof-of-concept models using image recognition technologies. You will work on-site with clients to ensure smooth integration of AI systems. Strong communication skills are vital as you bridge the gap between tech and business.,Link
Robotics AI Eng,Robot Start,"Boston, MA","ROS,C++,ML,Sensor Fusion,Motion Planning",3,"Design and implement AI-driven control algorithms for autonomous mobile robots. You will work on integrating vision and sensor data into the robot's decision-making. The role involves hands-on testing and debugging of robotic hardware and software. You will collaborate with a small, agile team to bring new robotic products to market. Knowledge of Robot Operating System (ROS) and basic ML frameworks is required.",Link
NLP Engineer,Language Inc,Remote,"Transformers,BERT,PyTorch,Hugging Face,Python,SpaCy",2,Develop natural language processing models for automated translation and sentiment analysis. You will experiment with different transformer architectures to improve model accuracy. The role involves cleaning and labeling large text datasets for model training. You will collaborate with software engineers to deploy NLP models into production APIs. Staying up-to-date with the latest research in computational linguistics is expected.,Link
Deep Learning Grad,Research Labs,"Seattle, WA","PyTorch,Audio AI,Signal Processing,Python,NumPy",1,Conduct research and development in the field of deep neural networks for audio processing. You will implement and test new model architectures for noise cancellation and speech synthesis. The role requires strong mathematical skills and proficiency in deep learning frameworks. You will work under the guidance of senior researchers to publish innovative results. Collaboration with the engineering team to optimize models for mobile devices is key.,Link
