job_title,company,location,required_skills,years_experience,job_description,url
Machine Learning Engineer,Google DeepMind,Mountain View CA,Python TensorFlow PyTorch JAX distributed training research,3,"Design and implement large-scale ML models and training pipelines. Collaborate with research scientists to productionize cutting-edge AI systems. Optimize model performance for efficiency and scalability. Contribute to internal ML infrastructure and tooling. Work on reinforcement learning and generative AI systems. Write clean modular code and rigorous unit tests. Publish research findings in top-tier venues.",https://careers.google.com/jobs/results/
Data Scientist,Meta AI,Menlo Park CA,Python R SQL PyTorch experimentation A/B testing causal inference statistics,2,"Run experiments and build models that improve billions of user experiences across Facebook Instagram and WhatsApp. Analyze large-scale datasets to uncover behavioral patterns and actionable insights. Design and evaluate A/B tests with proper statistical rigor. Build predictive models for content ranking ads and recommendations. Partner with product and engineering teams to define metrics. Communicate findings clearly to non-technical stakeholders.",https://www.metacareers.com/jobs/
ML Engineer - NLP,OpenAI,San Francisco CA,Python PyTorch transformers fine-tuning RLHF LLM evaluation distributed systems,3,"Work on training and fine-tuning large language models including GPT and reasoning models. Implement RLHF pipelines and alignment techniques. Build evaluation frameworks to measure model safety and capability. Collaborate with alignment research teams on novel training approaches. Optimize inference performance and serving infrastructure. Contribute to open research publications. Handle large-scale distributed training across thousands of GPUs.",https://openai.com/careers/
Data Engineer,Snowflake,Remote USA,Python SQL dbt Airflow Spark data modeling ETL pipeline Kafka,2,"Design and build scalable data pipelines that power analytics and ML workloads. Build reusable dbt models and transformation layers across multiple domains. Implement real-time streaming pipelines using Kafka and Flink. Ensure data quality monitoring and observability across the platform. Collaborate with data scientists and analysts to deliver reliable data products. Work in a cloud-native environment on AWS and Azure. Mentor junior engineers on best practices.",https://careers.snowflake.com/us/en/
AI Research Scientist,Microsoft Research,Redmond WA,Python PyTorch research publications machine learning deep learning NLP computer vision,5,"Conduct original research in machine learning artificial intelligence and related areas. Publish findings at top conferences such as NeurIPS ICML and ICLR. Collaborate with product teams to transfer research into real Microsoft products. Design novel architectures for language vision and multimodal models. Lead and mentor junior researchers and interns. Apply for patents for novel inventions. Work closely with Azure AI teams on deployment at scale.",https://careers.microsoft.com/us/en/
MLOps Engineer,Databricks,San Francisco CA,Python MLflow Kubernetes Docker CI/CD model serving monitoring AWS Azure,3,"Build and maintain ML platform infrastructure to accelerate data scientist productivity. Deploy and monitor production ML models using MLflow and Databricks pipelines. Implement CI/CD pipelines for model training and deployment. Design feature stores and model registries at enterprise scale. Troubleshoot performance issues in training and serving systems. Partner with data scientists to operationalize experiments. Ensure model observability and drift detection in production.",https://www.databricks.com/company/careers/
Computer Vision Engineer,Tesla,Palo Alto CA,Python PyTorch C++ computer vision object detection CUDA real-time inference,4,"Develop state-of-the-art computer vision models for Autopilot and Full Self-Driving. Work on 3D perception multi-camera fusion and occupancy prediction. Optimize models for real-time inference on custom neural processing hardware. Analyze large-scale fleet data to improve model accuracy. Collaborate with simulation and data labeling teams. Deploy models to millions of vehicles via OTA updates. Conduct ablation studies and model evaluation at scale.",https://www.tesla.com/careers/
Data Analyst - AI Products,Airbnb,San Francisco CA,SQL Python Tableau Looker statistics A/B testing product analytics,1,"Analyze product data to understand how AI-powered features affect host and guest experiences. Build dashboards and automated reports for product and leadership teams. Design and analyze experiments to measure the impact of new AI features. Develop metrics frameworks for evaluating recommendation and search quality. Collaborate with ML engineers to define ground truth labels and evaluation sets. Translate complex analysis into clear actionable narratives.",https://careers.airbnb.com/
NLP Engineer,Hugging Face,Remote USA,Python transformers NLP fine-tuning datasets tokenization model evaluation open source,2,"Build and maintain NLP libraries used by millions of developers worldwide. Fine-tune and evaluate transformer models across diverse language tasks. Contribute to the Transformers Datasets and Evaluate open-source libraries. Write technical documentation tutorials and blog posts. Engage with the open-source community through GitHub and Discord. Research and implement novel tokenization and model compression techniques. Collaborate on multimodal models combining text vision and audio.",https://apply.workable.com/huggingface/
Machine Learning Engineer,Spotify,New York NY,Python TensorFlow recommendation systems collaborative filtering A/B testing Kafka,3,"Build and improve ML models powering music podcast and audiobook recommendations for 600M+ users. Design and deploy large-scale collaborative filtering and content-based models. Run online experiments to evaluate recommendation quality and user engagement. Optimize models for low-latency serving using feature stores. Collaborate with research and product teams to define recommendation strategies. Monitor model health and performance degradation in production.",https://www.lifeatspotify.com/jobs/
AI Engineer,Salesforce,Remote USA,Python LangChain LLM APIs prompt engineering vector databases RAG agent frameworks,2,"Design and build AI-powered features integrated into the Salesforce CRM platform. Implement RAG pipelines using vector databases like Pinecone and Weaviate. Build LLM-powered agents for sales and customer service automation. Fine-tune and evaluate foundation models for enterprise use cases. Work with Einstein AI platform APIs. Collaborate with product managers to define AI roadmap. Ensure responsible AI principles in all deployed systems.",https://careers.salesforce.com/en/jobs/
