job_title,company,location,required_skills,years_experience,job_description,url,,,,,
ML Engineer Graduate,TikTok,"San Jose, CA","Python,ML,Algorithms,Data Structures,TensorFlow",1,This is a graduate-level role for individuals starting in 2026. You will build and optimize machine learning models for large-scale data processing. The role involves collaborating with cross-functional teams to improve algorithm efficiency. You will apply deep learning techniques to enhance user experience and content discovery. A strong foundation in computer science fundamentals is required.,https://www.linkedin.com/jobs/view/ml-engineer-graduate-tiktok-core-feed-recommendation-user-growth-2025-start%EF%BC%88phd-at-tiktok-4076513068,,,,,
Software Engineer PhD Early Career AI/ML,Google,"Mountain View, CA","Python,ML,TensorFlow,Algorithms,Distributed Systems",2,Join Google as a Software Engineer focused on AI and machine learning research and applications. You will build and improve ML infrastructure and algorithms at scale. The role involves collaborating with research teams to bring cutting-edge ideas to production. You will contribute to advancing the state of the art in machine learning systems. Strong programming skills and ML fundamentals are required.,https://www.linkedin.com/jobs/view/software-engineer-phd-early-career-ai-machine-learning-2026-start-at-google-4291306091,,,,,
Member of Technical Staff,OpenAI,"San Francisco, CA","Distributed Systems,CUDA,C++,PyTorch,Python",4,Contribute to the development of next-generation large language models. You will help scale training infrastructure and optimize model performance across clusters. The role requires a deep understanding of neural network architectures and optimization. You will work in a fast-paced environment with some of the world's leading AI researchers. Creativity and the ability to iterate quickly on research ideas are highly valued.,https://www.linkedin.com/jobs/view/member-of-technical-staff-at-openai-3453728747,,,,,
Research Scientist,Waymo,"Mountain View, CA","C++,Deep Learning,CUDA,Computer Vision,Sensor Fusion",2,Apply machine learning to autonomous driving technology and complex system simulations. You will conduct research into new algorithms for motion planning and perception. The role involves working with large-scale datasets from autonomous vehicle sensors. You will collaborate with researchers to publish findings and implement production-ready code. A background in robotics or a related PhD/Master's specialization is preferred.,https://www.linkedin.com/jobs/view/research-scientist-at-waymo-2942336290,,,,,
2026 Summer Intern PhD Research Behavior Modeling,Waymo,"Mountain View, CA","Python,PyTorch,Behavior Modeling,Machine Learning,Deep Learning",1,Conduct research on behavior modeling for autonomous vehicle systems in a 2026 summer internship. You will develop models that predict the behavior of other road agents. The role involves working with real-world driving data to validate and improve prediction models. You will collaborate with senior researchers and have the opportunity to publish work. Strong mathematical skills and proficiency in Python are required.,https://www.linkedin.com/jobs/view/2026-summer-intern-phd-research-behavior-modeling-at-waymo-4307944614,,,,,
Machine Learning Engineer Optimization Team,Hugging Face,Remote,"Python,Transformers,BERT,PyTorch,NLP,C++",2,Develop and maintain ML models at the hardware-software interface for Hugging Face's open-source ecosystem. You will bridge transformer models with state-of-the-art AI hardware to ensure optimal performance. The role involves designing developer-friendly APIs and deploying models efficiently and scalably. You will integrate the latest features from hardware partners in Python and C++. A deep understanding of NLP and transformer architectures is required.,https://www.linkedin.com/jobs/view/machine-learning-engineer-in-the-optimization-team-us-remote-at-hugging-face-3593370819,,,,,
Applied Scientist Machine Learning,Amazon,"Seattle, WA","Python,Statistics,SQL,Machine Learning,Causal Inference",2,Apply machine learning and statistical modeling to solve complex business problems at Amazon scale. You will design and implement scalable solutions for forecasting and optimization. The role involves working with large datasets to extract meaningful insights and patterns. You will collaborate with engineering and product teams to deliver AI-driven features. A strong background in machine learning theory and application is essential.,https://www.linkedin.com/jobs/view/applied-scientist-machine-learning-at-amazon-1825196779,,,,,
Applied Scientist,Amazon Web Services,"Seattle, WA","Statistics,Python,SQL,Machine Learning,Distributed Systems",3,Join AWS to develop core program analysis and machine learning algorithms for cloud services. You will work on one of the newest AWS services building applications using ML and robust analytics. The role involves applying scientific rigor to product development and decision-making. You will collaborate with engineering teams to deploy ML solutions at massive scale. Strong skills in statistics and machine learning are required.,https://www.linkedin.com/jobs/view/applied-scientist-at-amazon-web-services-aws-3031417563,,,,,
Gen AI Prompt Engineer,Cognizant,"Charlotte, NC","LLMs,Python,Prompt Engineering,GenAI,Deep Learning",2,Design and refine prompts for large language models to generate high-quality content and automate workflows. You will experiment with different prompting techniques to optimize model outputs across various domains. The role involves analyzing model responses and identifying areas for improvement. You will develop and implement generative AI models with a strong understanding of deep learning techniques. Collaboration with product teams is a key aspect of this role.,https://www.linkedin.com/jobs/view/gen-ai-prompt-engineer-remote-at-cognizant-3835609862,,,,,
Prompt Engineer,Scale AI,"New York, NY","LLMs,Python,Prompt Engineering,Evaluation Frameworks,TypeScript",2,Find vulnerabilities in large language models and develop training materials for red teaming. You will create vulnerability testing scripts in Python and TypeScript to improve model safety. The role involves designing and refining prompts to elicit desired behaviors from LLMs. You will work with world-class researchers to push the boundaries of AI safety. Strong writing skills and a deep understanding of LLM capabilities are required.,https://www.linkedin.com/jobs/view/prompt-engineer-at-scale-ai-3809155217,,,,,
